Code,Designation
38-01,TESPA A09
B15-1189,TIGRE AVEC MOTIF
B15-1561,TIGRE AVEC MOTIF
B15-1997,TIGRE AVEC MOTIF
B15-2040,TIGRE AVEC MOTIF
B15-260,TIGRE AVEC MOTIF
B15-263,TIGRE AVEC MOTIF
B15-229,TIGRE AVEC MOTIF/FS
B15-946,TIGRE AVEC MOTIF/FS
1,TISSU D'AMMEUBLEMENT
B10-385-5284-A,TOFEE BLEU CIEL
B10-385-5284-Y,TOFEE BLEU CIEL REUIR
B10-385-5275-A,TOFEE GRIS
B10-385-5275-Y,TOFEE GRIS
B10-504-5279-A,TOFEE KAFE
B10-504-5279-Y,TOFEE KAFE
B10-704-5283,TOFEE KAHVE-F
B10-704-5283-Y,TOFEE KAHVE-R
B10-504-5277A,TOFEE MIEL
B10-504-5277-Y,TOFEE MIEL REUIR
B10-504-5281-A,TOFEE NOIR
B10-504-5281-Y,TOFEE NOIR REUIR
B10-446-5287,TOFEE ROSE-F
B10-446-5287-Y,TOFEE ROSE-R
B10-385-5286,TOFEE TOP
B10-627-5282A,TOFEE TURK/MARRON
B10-627-5282Y,TOFEE TURK/MARRON
B10-704-5278,TOFEE VERT FLEURI 
B10-704-5278-Y,TOFEE VERT REUIR
B010-4286Y,TOFFEE MARON5277
B010-4288Y,TOFFEE MARRON(R5277)
T001,TOILE FLEURI FLOK
T003,TOILE UNIS
T002,TOILE UNIS FLOK
ARGENT,TRESS
BRONZE,TRESS
DORE,TRESS
TIG-3MT-ARGENT,TRINGLE
TIG-3MT-BRONCE,TRINGLE
TIG-3MT-DORE ,TRINGLE
TIG-4MT-BRONCE,TRINGLE
TIG-4MT-DORE ,TRINGLE
TIG-5MT-ARGENT,TRINGLE
TIG-5MT-DORE,TRINGLE
TRINGLE-3M,TRINGLE EN ACIER 3MT SIMPLE BRENZE AR191220
TRINGLE-3MT GOLD,TRINGLE EN ACIER 3MT SIMPLE GOLD AR191220
TRINGLE-3MT SELVER,TRINGLE EN ACIER 3MT SIMPLE SELVER AR191220
T182-182-7018-9809,TRIO
T182-2049-B22,TRIO
T182-3008-117,TRIO
T182-4008-4009,TRIO
T182-4012-6041,TRIO
T182-4047-8077,TRIO
T182-4548-22423,TRIO
T182-9500-8015,TRIO
T182-9500-9521,TRIO
T182-9503-9902,TRIO
T182-9522-9503,TRIO
T182-B57-6054,TRIO
T182-K442-1087,TRIO
T-C1,TrioC#1
T-C10,TrioC#10
T-C15,TrioC#15
T-C16,TrioC#16 FS
T-C2,TrioC#2 FS
T-C3,TrioC#3
T-C5,TrioC#5 FS
T-C7,TrioC#7
T-C8,TrioC#8
T-C9,TrioC#9
OSC-TL20_37,TULLE OSCAR TURK AR201022
B-05/,UNI MARRON
B-05..,UNI MIEL
B-05-,UNI MOV
B-05*,UNI NOIR
B-05.,UNI TURQUOISE
B02-1189,UNIS AVEC MOTIF 01
B02-1561,UNIS AVEC MOTIF 01
B02-1997,UNIS AVEC MOTIF 01
B02-2040,UNIS AVEC MOTIF 01
B02-229,UNIS AVEC MOTIF 01
B02-260,UNIS AVEC MOTIF 01
B02-263,UNIS AVEC MOTIF 01
B02-946,UNIS AVEC MOTIF 01
B01-1189,UNIS AVEC MOTIF 02
B01-1561,UNIS AVEC MOTIF 02
B01-1671,UNIS AVEC MOTIF 02
B01-224,UNIS AVEC MOTIF 02
B01-229,UNIS AVEC MOTIF 02
B01-260,UNIS AVEC MOTIF 02
B01-263,UNIS AVEC MOTIF 02
B01-946,UNIS AVEC MOTIF 02
B01-235,UNIS AVEC MOTIF 02 /FS
B05-B,UNIS BLEU CIEL
B7-PLAIN-1063,UNIS LUX
B7-PLAIN-1938,UNIS LUX
B7-PLAIN-1950,UNIS LUX
B7-PLAIN-525,UNIS LUX
B7-PLAIN-561,UNIS LUX
B7-PLAIN-666,UNIS LUX
B8-PLAIN-4051,UNIS LUX
B8-PLAIN-3183,UNIS LUX ECRU
B8-PLAIN-3205,UNIS LUX GRIS
B8-PLAIN-3129,UNIS LUX MARRON
B8-PLAIN-3123,UNIS LUX MIEL
B8-PLAIN-3189,UNIS LUX TOP
B8-PLAIN-2958,UNIS LUX VIOLET
B37 VN 47,UNIS LUX VN 497=0
B8-PLAIN-VN82,UNIS LUX VN82
B03-1189,UNIS VELOUR DE SOI
B03-1561,UNIS VELOUR DE SOI
B03-1671,UNIS VELOUR DE SOI
B03-1997,UNIS VELOUR DE SOI
B03-224,UNIS VELOUR DE SOI
B03-229,UNIS VELOUR DE SOI
B03-235,UNIS VELOUR DE SOI
B03-260,UNIS VELOUR DE SOI
B03-263,UNIS VELOUR DE SOI
B03-946,UNIS VELOUR DE SOI
B03-2040,UNIS VELOUR DE SOI =0
B03-243,UNIS VELOUR DE SOI =0
B03-746,UNIS VELOUR DE SOI =0
B03-778,UNIS VELOUR DE SOI =0
B03-989,UNIS VELOUR DE SOI =0
B-05-O,UNIS-AUBERGINE
B-05-R,UNIS-ROUGE
C12-47349,VARAN NOIR 
VG-04,VARENNA GREYD GRI
VG-06,VARENNA GREYD HARDAL
VG-03,VARENNA GREYD KHAVE
VG-05,VARENNA GREYD MAVI
VG-07,VARENNA GREYD MOR
VG-01,VARENNA GREYD PEMBE 
VG-02,VARENNA GREYD TURKUAZ
VG-08,VARENNA GREYD YESIL
B7-404-1063,VELOUR DE SOI AVEC MOTIF
B7-404-1938,VELOUR DE SOI AVEC MOTIF
B7-404-1950,VELOUR DE SOI AVEC MOTIF
B7-404-561,VELOUR DE SOI AVEC MOTIF
B7-404-666,VELOUR DE SOI AVEC MOTIF
B7-417-1938,VELOUR DE SOI AVEC MOTIF
B7-417-1950,VELOUR DE SOI AVEC MOTIF
B7-417-561,VELOUR DE SOI AVEC MOTIF
B7-417-666,VELOUR DE SOI AVEC MOTIF
B7-REYE-1063,VELOUR DE SOI AVEC MOTIF
B7-REYE-561,VELOUR DE SOI AVEC MOTIF
B7-REYER-1938,VELOUR DE SOI AVEC MOTIF
B7-REYER-525,VELOUR DE SOI AVEC MOTIF
B7-REYER-666,VELOUR DE SOI AVEC MOTIF
B7-404-525,VELOUR DE SOI AVEC MOTIF TOP
B8-12159-3183,VELOUR DE SOI ECRU
B37-18008K-3205,VELOUR DE SOI FLEURI
B37-18008K-4051,VELOUR DE SOI FLEURI
B37-18008K-4057,VELOUR DE SOI FLEURI
B37-18008K-4063,VELOUR DE SOI FLEURI
B37-18008K-VN47,VELOUR DE SOI FLEURI
B37-18008K-VN82,VELOUR DE SOI FLEURI
B37-18009-3205,VELOUR DE SOI FLEURI
B37-18009-4051,VELOUR DE SOI FLEURI
B37-18009-4057,VELOUR DE SOI FLEURI
B37-18009-4063,VELOUR DE SOI FLEURI
B37-18009-VN47,VELOUR DE SOI FLEURI
B37-18009-VN82,VELOUR DE SOI FLEURI
B8-12159-2958,VELOUR DE SOI FLEURI
B8-12159-3123,VELOUR DE SOI FLEURI
B8-12165-3123,VELOUR DE SOI FLEURI
B8-12165-3129,VELOUR DE SOI FLEURI
B8-12165-3183,VELOUR DE SOI FLEURI
B8-12159-3205,VELOUR DE SOI GRIS
B8-12165-3205,VELOUR DE SOI GRIS
B8-12159-3129,VELOUR DE SOI MARRON
B8-12165-3189,VELOUR DE SOI TOP
B37-3205,VELOUR DE SOI UNIS LUX
B37-4057,VELOUR DE SOI UNIS LUX
B37-4063,VELOUR DE SOI UNIS LUX
B8-12165-2958,VELOUR DE SOI VIOLET
HTM-3672-11,VELVET C1=0FSK
HTM-3672-07,VELVET C10=0 FSK
HTM-3672-13,VELVET C11 =0 FSK
HTM-3672-00,VELVET C12= FS /0
HTM-3672-0,VELVET C13
HTM-3672-05,VELVET C14=0FS
HTM-3672-04,VELVET C17/FS
HTM-3672-03,VELVET C18****1R
HTM-3672-000,VELVET C19
HTM-3672-09,VELVET C2=0 FSK
HTM-3672-08,VELVET C20=0FS
HTM-3672-15,VELVET C21
HTM-3672-06,VELVET C22=0 FS
HTM-3672-02,VELVET C23=0 FSK
HTM-3672-01,VELVET C24 FS
HTM-3672-16,VELVET C4FS
HTM-3672-12,VELVET C5
HTM-3672-14,VELVET C7 FS
HTM-3672-10,VELVET C9
A11,VELVET N
A12,VELVET N
A21,VELVET N
A4,VELVET N
A5,VELVET N
C20,VELVET N
A24,VELVET N ( FS)
A1,VELVET N FS
A14,VELVET N FS
A15,VELVET N FS
A18,VELVET N FS
A20,VELVET N FS
A23,VELVET N FS
ANG,VELVET N FS
V01,VERDI
C27-401669,VINCENT BLANC 670/283
C27-401670,VINCENT CREAM 671/284
C27-404845,VINCENT GRIS762
C27-401674,VINCENT KIM TOP FONCE 673/286
C27-401671,VINCENT KIMIK (TOP CLAIR 672/285)
C27-401675,VINCENT NOIR 675/381
C27-401672,VINCENT TETE DE NEIGRE 674
B16-2279-15001,VINDIK
B16-2279-15002,VINDIK
B16-2279-15003,VINDIK
B16-2279-15004,VINDIK
B16-2279-503,VINDIK
B16-2279-504,VINDIK
B16-2279-505,VINDIK
B16-2279-506,VINDIK
B16-2279-507,VINDIK
B16-2279-509,VINDIK
B16-2279-510,VINDIK
B16-2279-511,VINDIK
B40-1049,VIVA 1049
B40-2049,VIVA 2049
B40-3049,VIVA 3049
BLN-I161V1-1,VOIL DE LIN BELENAY AR201022
BLN-I161V4-1,VOIL DE LIN BELENAY AR201022
BLN-I161V5-1,VOIL DE LIN BELENAY AR201022
BLN-I172V9-1,VOIL DE LIN BELENAY AR201022
I003-16V03+40,VOIL DE LIN BELENAY TK AR200824
I010-16V10+40,VOIL DE LIN BELENAY TK AR200824
I047-11V15+40,VOIL DE LIN BELENAY TK AR200824
T1026-16V16,VOIL DE LIN BELENAY TK AR200824
B156,WARDA KABIRA
C06-A04,XS BEIGE
C06-A03,XS BLANC
C06-A11,XS BLEU
C06-XS ,XS GREJE
C06-A02,XS GRIS
C06-A09,XS MARON
C06-A06,XS MARON CLAIR
C06-A07,XS MOV FONCEE
C06-A05,XS NOIR
C06-A14,XS ORANGE
C06-A-KOALA 11,XS PINK
C06-A12,XS ROUGE
C06-A08,XS ROZE
C06-A01,XS TOP
C06-A10,XS VERT PISTACHE
C14-390,ZEBRA BAKIR-370
C14-589,ZEBRA BEJ
C14-01,ZEBRA BRONZE CLAIR
C14-370,ZEBRA MARRON-390
C14-810,ZEBRA NOIR
104,ZEN
118,ZEN
125,ZEN
160,ZEN
1618,ZEN
101,ZEN 
120,ZEN FS
1607,ZEN FS
1816,ZEN FS
B38-6707,ZITOUNA 
B38-K1-4705,ZITOUNA 
B38-K1-6707,ZITOUNA 
B38-4702,ZITOUNA =0
B38-4704,ZITOUNA BEJ
B38-K1-4704,ZITOUNA BEJ
B38-3110,ZITOUNA GRIS
B38-K1-3110,ZITOUNA GRIS
B38-6706,ZITOUNA MARRON
B38-K1-6706,ZITOUNA MARRON
B38-4705,ZITOUNA NOIR
B38-6708,ZITOUNA ROUGE
B38-K1-6708,ZITOUNA ROUGE
B38-K1-4702,ZITOUNA UNIS
